id,user_id,transportation_mode,start_date_time,end_date_time
1,000,NULL,2008-10-23 02:53:04,2008-10-23 11:11:12
2,000,NULL,2008-10-24 02:09:59,2008-10-24 02:47:06
3,000,NULL,2008-10-26 13:44:07,2008-10-26 15:04:07
4,000,NULL,2008-10-27 11:54:49,2008-10-27 12:05:54
5,000,NULL,2008-10-28 00:38:26,2008-10-28 05:03:42
6,000,NULL,2008-10-29 09:21:38,2008-10-29 09:30:28
7,000,NULL,2008-10-29 09:30:38,2008-10-29 09:46:43
8,000,NULL,2008-11-03 10:13:36,2008-11-03 10:16:01
9,000,NULL,2008-11-03 23:21:53,2008-11-04 03:31:08
10,000,NULL,2008-11-10 01:36:37,2008-11-10 03:46:12
11,000,NULL,2008-11-11 00:17:04,2008-11-11 02:35:54
12,000,NULL,2008-11-12 02:30:03,2008-11-12 05:09:14
13,000,NULL,2008-11-12 09:14:00,2008-11-12 09:16:10
14,000,NULL,2008-11-13 03:46:08,2008-11-13 14:11:31
15,000,NULL,2008-11-14 01:52:55,2008-11-14 07:08:18
16,000,NULL,2008-11-14 10:14:36,2008-11-14 16:30:10
17,000,NULL,2008-11-15 01:01:33,2008-11-15 04:09:45
18,000,NULL,2008-11-16 08:55:32,2008-11-16 08:56:27
19,000,NULL,2008-11-17 05:11:33,2008-11-17 05:18:33
20,000,NULL,2008-11-17 15:52:23,2008-11-17 16:17:38
21,000,NULL,2008-11-18 09:50:05,2008-11-18 09:53:55
22,000,NULL,2008-11-18 09:54:00,2008-11-18 11:49:36
23,000,NULL,2008-11-18 16:20:08,2008-11-18 16:20:38
24,000,NULL,2008-11-19 01:28:06,2008-11-19 01:34:36
25,000,NULL,2008-11-19 11:20:35,2008-11-19 13:49:56
26,000,NULL,2008-11-20 03:57:36,2008-11-20 04:08:31
27,000,NULL,2008-11-21 04:09:36,2008-11-21 04:10:06
28,000,NULL,2008-11-21 11:30:38,2008-11-21 11:33:58
29,000,NULL,2008-11-22 01:23:09,2008-11-22 05:56:40
30,000,NULL,2008-11-23 10:21:53,2008-11-23 10:30:08
31,000,NULL,2008-12-01 11:18:27,2008-12-01 11:35:15
32,000,NULL,2008-12-02 07:11:36,2008-12-02 07:15:26
33,000,NULL,2008-12-02 07:15:31,2008-12-02 16:11:54
34,000,NULL,2008-12-03 03:23:26,2008-12-03 03:30:36
35,000,NULL,2008-12-03 15:12:06,2008-12-03 15:54:25
36,000,NULL,2008-12-03 23:49:39,2008-12-04 00:00:24
37,000,NULL,2008-12-10 02:35:03,2008-12-10 08:02:42
38,000,NULL,2008-12-11 04:46:24,2008-12-11 04:46:39
39,000,NULL,2008-12-11 12:14:32,2008-12-11 12:24:32
40,000,NULL,2008-12-12 04:25:25,2008-12-12 06:42:47
41,000,NULL,2008-12-12 10:12:36,2008-12-12 10:22:31
42,000,NULL,2008-12-14 01:10:36,2008-12-14 01:24:31
43,000,NULL,2009-03-30 00:52:08,2009-03-30 16:11:06
44,000,NULL,2009-03-31 00:39:04,2009-03-31 11:31:50
45,000,NULL,2009-04-01 05:06:07,2009-04-01 10:31:43
46,000,NULL,2009-04-01 20:23:31,2009-04-01 20:25:31
47,000,NULL,2009-04-02 06:07:32,2009-04-02 15:39:23
48,000,NULL,2009-04-06 02:37:02,2009-04-06 10:45:22
49,000,NULL,2009-04-09 18:28:00,2009-04-09 18:38:50
50,000,NULL,2009-04-10 02:19:35,2009-04-10 17:13:33
51,000,NULL,2009-04-11 05:23:58,2009-04-11 17:24:20
52,000,NULL,2009-04-12 00:49:05,2009-04-12 00:59:20
53,000,NULL,2009-04-12 07:33:03,2009-04-12 17:24:59
54,000,NULL,2009-04-13 05:08:06,2009-04-13 14:09:23
55,000,NULL,2009-04-13 14:46:32,2009-04-13 14:54:28
56,000,NULL,2009-04-15 00:04:06,2009-04-15 00:30:21
57,000,NULL,2009-04-15 07:40:08,2009-04-15 10:42:45
58,000,NULL,2009-04-16 00:27:05,2009-04-16 15:42:15
59,000,NULL,2009-04-17 00:24:30,2009-04-17 10:05:32
60,000,NULL,2009-04-18 17:22:38,2009-04-18 17:37:03
61,000,NULL,2009-04-19 17:55:00,2009-04-19 18:21:35
62,000,NULL,2009-04-20 01:30:34,2009-04-20 15:42:04
63,000,NULL,2009-04-20 23:51:06,2009-04-21 10:55:01
64,000,NULL,2009-04-22 02:38:59,2009-04-22 10:25:25
65,000,NULL,2009-04-22 20:36:07,2009-04-22 20:44:07
66,000,NULL,2009-04-23 09:28:38,2009-04-23 10:05:18
67,000,NULL,2009-04-23 18:11:01,2009-04-23 18:29:06
68,000,NULL,2009-04-24 00:47:37,2009-04-24 10:14:28
69,000,NULL,2009-04-24 17:11:37,2009-04-24 17:22:17
70,000,NULL,2009-04-26 02:57:14,2009-04-26 10:24:20
71,000,NULL,2009-04-26 17:55:13,2009-04-26 18:08:13
72,000,NULL,2009-04-27 01:02:30,2009-04-27 14:03:24
73,000,NULL,2009-04-27 21:58:26,2009-04-27 22:34:22
74,000,NULL,2009-04-28 05:16:31,2009-04-28 15:00:36
75,000,NULL,2009-05-02 07:49:07,2009-05-02 14:25:18
76,000,NULL,2009-05-03 03:39:26,2009-05-03 10:54:07
77,000,NULL,2009-05-04 02:33:01,2009-05-04 10:21:23
78,000,NULL,2009-05-04 20:39:25,2009-05-04 20:45:50
79,000,NULL,2009-05-05 03:24:32,2009-05-05 10:09:24
80,000,NULL,2009-05-05 19:53:37,2009-05-05 20:06:02
81,000,NULL,2009-05-06 12:59:06,2009-05-06 18:36:35
82,000,NULL,2009-05-07 02:42:01,2009-05-07 10:51:39
83,000,NULL,2009-05-07 19:29:52,2009-05-07 19:43:12
84,000,NULL,2009-05-08 01:54:05,2009-05-08 02:10:47
85,000,NULL,2009-05-08 10:04:31,2009-05-08 10:53:08
86,000,NULL,2009-05-09 05:01:36,2009-05-09 11:52:26
87,000,NULL,2009-05-09 18:16:36,2009-05-09 18:30:36
88,000,NULL,2009-05-10 02:02:06,2009-05-10 06:20:11
89,000,NULL,2009-05-10 22:20:07,2009-05-10 22:27:12
90,000,NULL,2009-05-11 06:41:36,2009-05-11 10:51:05
91,000,NULL,2009-05-11 17:44:27,2009-05-11 18:00:48
92,000,NULL,2009-05-12 01:31:09,2009-05-12 10:04:01
93,000,NULL,2009-05-12 19:55:58,2009-05-12 20:04:08
